"kq","kQ","kZ","kY","coverage","time","time_connected","average_fiedler","time_localized","average_CRB","max_queue","runtime","seed","coverage_array"
0.9,0,0,0,1422,360,5,0.029242503971345046,3.75,976.1562450291394,157,326.2229161262512,4,"[1, 25, 36, 47, 50, 56, 75, 80, 88, 88, 88, 88, 88, 103, 131, 134, 137, 137, 137, 137, 137, 174, 174, 174, 174, 191, 191, 191, 191, 191, 191, 191, 215, 247, 249, 251, 251, 257, 257, 257, 257, 257, 280, 280, 280, 314, 314, 314, 314, 314, 314, 314, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 364, 393, 393, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 425, 469, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 504, 569, 569, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 633, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 691, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 803, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 893, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1050, 1155, 1155, 1155, 1155, 1155, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1274, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1284, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422, 1422]"
0.9,0,0,0,513,125,6,0.09910068061123548,3.5,961.9288562161515,61,391.27347588539124,0,"[1, 25, 36, 47, 58, 64, 73, 73, 100, 100, 100, 103, 103, 124, 124, 129, 129, 135, 135, 135, 158, 158, 158, 158, 158, 158, 158, 199, 199, 220, 220, 220, 240, 240, 240, 240, 240, 240, 240, 240, 240, 240, 278, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 305, 333, 333, 333, 333, 362, 362, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 440, 440, 440, 440, 440, 440, 440, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 513, 513]"
10,0,0,0.1,269,127,38,0.5220398895388187,10.0,583.2572737457969,12,140.02498507499695,1,"[1, 25, 36, 42, 48, 59, 61, 63, 67, 70, 77, 80, 80, 81, 82, 92, 94, 104, 108, 108, 109, 119, 120, 120, 120, 129, 129, 129, 129, 132, 135, 138, 138, 138, 144, 156, 156, 155, 157, 198, 198, 200, 199, 200, 200, 200, 200, 201, 201, 212, 212, 212, 212, 212, 212, 217, 217, 229, 229, 229, 229, 229, 229, 229, 229, 229, 229, 229, 233, 234, 234, 235, 236, 236, 240, 240, 240, 240, 240, 240, 247, 247, 247, 247, 247, 250, 250, 250, 250, 250, 250, 250, 252, 252, 252, 252, 252, 253, 253, 253, 253, 260, 260, 260, 260, 260, 260, 260, 260, 265, 265, 265, 265, 265, 265, 265, 265, 265, 267, 267, 267, 267, 267, 267, 267, 269, 269, 269, 269]"
10,0,0,0.1,257,79,7,0.15026633179325694,8.25,700.9693348809592,12,163.27382564544678,2,"[1, 25, 36, 47, 58, 60, 65, 75, 75, 78, 84, 87, 90, 93, 106, 109, 112, 112, 112, 125, 125, 131, 131, 133, 138, 138, 141, 141, 141, 147, 155, 155, 161, 164, 164, 173, 176, 176, 184, 186, 188, 187, 189, 189, 199, 199, 210, 213, 213, 214, 221, 224, 224, 224, 236, 239, 245, 248, 251, 251, 251, 251, 251, 251, 251, 251, 255, 255, 255, 255, 255, 255, 255, 255, 255, 257, 257, 257, 257, 257, 257]"
10,0,0,0.1,310,123,15,0.2091146025930466,11.25,844.5717290864293,26,220.58465719223022,3,"[1, 25, 36, 47, 58, 63, 65, 79, 81, 84, 93, 98, 98, 98, 98, 115, 115, 123, 123, 130, 130, 136, 140, 140, 140, 143, 148, 153, 155, 155, 167, 167, 193, 196, 202, 202, 202, 202, 202, 222, 222, 228, 228, 230, 230, 238, 238, 238, 238, 238, 238, 253, 253, 253, 253, 253, 253, 253, 253, 264, 270, 270, 270, 270, 270, 274, 274, 277, 284, 287, 287, 287, 287, 287, 287, 293, 293, 293, 293, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 302, 302, 302, 302, 302, 302, 302, 302, 302, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 310, 310]"
10,0,0,0.1,395,250,38,0.2167595151962019,15.5,749.4594712860667,13,285.38539934158325,5,"[1, 25, 36, 47, 55, 55, 72, 75, 82, 84, 91, 99, 105, 111, 111, 111, 111, 134, 134, 141, 141, 141, 154, 154, 154, 154, 154, 165, 165, 170, 170, 170, 173, 176, 176, 182, 182, 185, 186, 188, 189, 193, 193, 193, 194, 203, 205, 208, 211, 211, 215, 215, 222, 223, 225, 225, 225, 225, 225, 225, 239, 240, 242, 242, 242, 242, 242, 247, 250, 250, 251, 254, 254, 254, 254, 254, 265, 265, 265, 266, 266, 266, 266, 266, 272, 272, 273, 273, 273, 273, 273, 280, 281, 281, 281, 281, 281, 286, 286, 286, 286, 286, 286, 286, 293, 293, 293, 293, 294, 294, 294, 294, 294, 294, 294, 307, 307, 307, 313, 313, 313, 313, 313, 313, 315, 315, 315, 315, 315, 315, 315, 315, 315, 315, 315, 317, 321, 321, 321, 321, 321, 321, 321, 321, 321, 321, 321, 331, 331, 331, 331, 331, 331, 331, 331, 331, 336, 336, 336, 336, 336, 336, 336, 336, 340, 340, 340, 340, 340, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 352, 352, 352, 352, 352, 357, 357, 357, 357, 364, 364, 364, 364, 366, 366, 366, 366, 370, 373, 376, 376, 376, 376, 376, 376, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 388, 388, 387, 387, 387, 387, 387, 387, 387, 387, 387, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395]"
10,0,0,0.1,497,360,17,0.09383357030076521,21.75,901.0375787880193,18,407.8656153678894,4,"[1, 25, 36, 47, 50, 56, 72, 78, 82, 82, 95, 95, 97, 107, 110, 110, 116, 124, 124, 127, 127, 127, 127, 134, 148, 148, 155, 164, 164, 170, 170, 171, 172, 174, 182, 187, 187, 196, 203, 203, 204, 204, 218, 221, 227, 232, 235, 235, 236, 236, 236, 236, 236, 256, 261, 263, 263, 263, 263, 263, 266, 266, 266, 266, 267, 267, 267, 291, 291, 291, 292, 303, 303, 303, 303, 303, 316, 316, 316, 316, 318, 318, 323, 323, 323, 323, 323, 324, 324, 324, 324, 333, 333, 333, 339, 339, 339, 343, 343, 343, 343, 343, 349, 349, 349, 349, 349, 351, 354, 354, 360, 360, 360, 360, 360, 360, 360, 360, 360, 362, 362, 362, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 366, 369, 369, 373, 374, 374, 374, 374, 374, 374, 374, 375, 376, 376, 377, 378, 378, 378, 378, 378, 378, 378, 378, 378, 381, 381, 381, 381, 381, 381, 386, 386, 386, 386, 386, 386, 388, 388, 388, 388, 388, 388, 388, 388, 390, 390, 390, 390, 390, 390, 390, 394, 394, 394, 394, 394, 394, 394, 398, 398, 398, 398, 398, 398, 398, 398, 403, 403, 403, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405, 405, 407, 410, 410, 410, 410, 410, 410, 410, 410, 410, 410, 410, 410, 421, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 423, 427, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 439, 439, 439, 439, 439, 439, 439, 439, 439, 439, 439, 439, 439, 439, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 443, 448, 448, 455, 455, 455, 455, 455, 455, 455, 455, 455, 455, 455, 455, 455, 455, 457, 461, 461, 461, 461, 461, 461, 461, 461, 461, 461, 461, 461, 461, 470, 470, 470, 480, 480, 480, 480, 480, 480, 480, 485, 485, 485, 485, 485, 485, 485, 485, 485, 485, 485, 485, 485, 490, 490, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 494, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 496, 497]"
10,0,0,0.1,363,125,15,0.21316806757804643,12.5,867.3513193859544,23,585.6042335033417,0,"[1, 25, 36, 47, 58, 64, 70, 72, 74, 90, 93, 93, 97, 103, 112, 120, 123, 131, 134, 137, 140, 140, 157, 162, 168, 168, 168, 177, 180, 180, 180, 183, 188, 193, 195, 200, 200, 200, 206, 220, 221, 221, 228, 228, 232, 232, 233, 235, 235, 235, 235, 254, 259, 259, 262, 268, 268, 268, 268, 277, 277, 277, 277, 277, 277, 277, 277, 277, 300, 300, 300, 307, 307, 307, 323, 323, 323, 329, 329, 340, 340, 340, 340, 340, 340, 340, 346, 346, 346, 347, 347, 347, 347, 352, 353, 353, 358, 358, 359, 359, 359, 359, 359, 359, 361, 361, 361, 361, 361, 361, 361, 361, 361, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363, 363]"
1,0,0,0.1,269,127,38,0.5220398895388187,10.0,583.2572737457969,12,141.52898240089417,1,"[1, 25, 36, 42, 48, 59, 61, 63, 67, 70, 77, 80, 80, 81, 82, 92, 94, 104, 108, 108, 109, 119, 120, 120, 120, 129, 129, 129, 129, 132, 135, 138, 138, 138, 144, 156, 156, 155, 157, 198, 198, 200, 199, 200, 200, 200, 200, 201, 201, 212, 212, 212, 212, 212, 212, 217, 217, 229, 229, 229, 229, 229, 229, 229, 229, 229, 229, 229, 233, 234, 234, 235, 236, 236, 240, 240, 240, 240, 240, 240, 247, 247, 247, 247, 247, 250, 250, 250, 250, 250, 250, 250, 252, 252, 252, 252, 252, 253, 253, 253, 253, 260, 260, 260, 260, 260, 260, 260, 260, 265, 265, 265, 265, 265, 265, 265, 265, 265, 267, 267, 267, 267, 267, 267, 267, 269, 269, 269, 269]"
1,0,0,0.1,257,79,7,0.15026633179325694,8.25,700.9693348809592,12,162.9367322921753,2,"[1, 25, 36, 47, 58, 60, 65, 75, 75, 78, 84, 87, 90, 93, 106, 109, 112, 112, 112, 125, 125, 131, 131, 133, 138, 138, 141, 141, 141, 147, 155, 155, 161, 164, 164, 173, 176, 176, 184, 186, 188, 187, 189, 189, 199, 199, 210, 213, 213, 214, 221, 224, 224, 224, 236, 239, 245, 248, 251, 251, 251, 251, 251, 251, 251, 251, 255, 255, 255, 255, 255, 255, 255, 255, 255, 257, 257, 257, 257, 257, 257]"
1,0,0,0.1,310,123,15,0.2091146025930466,11.25,844.5717290864293,26,215.70124292373657,3,"[1, 25, 36, 47, 58, 63, 65, 79, 81, 84, 93, 98, 98, 98, 98, 115, 115, 123, 123, 130, 130, 136, 140, 140, 140, 143, 148, 153, 155, 155, 167, 167, 193, 196, 202, 202, 202, 202, 202, 222, 222, 228, 228, 230, 230, 238, 238, 238, 238, 238, 238, 253, 253, 253, 253, 253, 253, 253, 253, 264, 270, 270, 270, 270, 270, 274, 274, 277, 284, 287, 287, 287, 287, 287, 287, 293, 293, 293, 293, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 297, 302, 302, 302, 302, 302, 302, 302, 302, 302, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 304, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 306, 310, 310]"
1,0,0,0.1,395,250,38,0.2167595151962019,15.5,749.4594712860667,13,281.34387707710266,5,"[1, 25, 36, 47, 55, 55, 72, 75, 82, 84, 91, 99, 105, 111, 111, 111, 111, 134, 134, 141, 141, 141, 154, 154, 154, 154, 154, 165, 165, 170, 170, 170, 173, 176, 176, 182, 182, 185, 186, 188, 189, 193, 193, 193, 194, 203, 205, 208, 211, 211, 215, 215, 222, 223, 225, 225, 225, 225, 225, 225, 239, 240, 242, 242, 242, 242, 242, 247, 250, 250, 251, 254, 254, 254, 254, 254, 265, 265, 265, 266, 266, 266, 266, 266, 272, 272, 273, 273, 273, 273, 273, 280, 281, 281, 281, 281, 281, 286, 286, 286, 286, 286, 286, 286, 293, 293, 293, 293, 294, 294, 294, 294, 294, 294, 294, 307, 307, 307, 313, 313, 313, 313, 313, 313, 315, 315, 315, 315, 315, 315, 315, 315, 315, 315, 315, 317, 321, 321, 321, 321, 321, 321, 321, 321, 321, 321, 321, 331, 331, 331, 331, 331, 331, 331, 331, 331, 336, 336, 336, 336, 336, 336, 336, 336, 340, 340, 340, 340, 340, 344, 344, 344, 344, 344, 344, 344, 344, 344, 344, 352, 352, 352, 352, 352, 357, 357, 357, 357, 364, 364, 364, 364, 366, 366, 366, 366, 370, 373, 376, 376, 376, 376, 376, 376, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 384, 388, 388, 387, 387, 387, 387, 387, 387, 387, 387, 387, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 391, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395, 395]"
